interactionID	basisOfRecord	sourceTaxonId	sourceTaxonName	sourceVerbatimName	sourceFamilyName	sourceCommonName	sourceSexName	sourceLifeStageName	sourceAssociatedSequences	sourceSexID	interactionTypeId	isNegated	interactionTypeName	targetBodyPartName	targetBodyPartId	experimentalConditionName	experimentalConditionId	targetTaxonId	targetTaxonName	targetVerbatimName	targetFamilyName	targetCommonName	targetLifeStageName	targetAssociatedSequences	country	stateProvince	county	verbatimLocality	localityId	locality	habitat	decimalLatitude	decimalLongitude	minimumElevationInMeters	maximumElevationInMeters	verbatimEventDate	eventDate	eventTime	referenceDoi	referenceCitation	referenceType	primarySource	enteredBy	notes
1087	LiteratureRecord	https://www.gbif.org/species/9648871	Andrena albofoveata		Andrenidae		Female			http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/5371822	Angelica atropurpea		Apiaceae	American Angelica			United States	Wisconsin		Milwaukee		Milwaukee						June 15 or 16, 1902	June 15 or 16, 1902			Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	Holotype
1088	LiteratureRecord	https://www.gbif.org/species/9813834	Andrena crataegiphila		Andrenidae		Male			http://purl.obolibrary.org/obo/FBcv_0000333	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/3013967	Crataegus occidentalis		Rosaceae				United States	Colorado		Boulder		Boulder						May				Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	Holotype
1089	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Female			http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/3020559	Prunus		Rosaceae																			Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	189 individuals
1090	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Male			http://purl.obolibrary.org/obo/FBcv_0000333	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/3020559	Prunus		Rosaceae																			Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	373 individuals
1091	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Female			http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2986532	Pyrus		Rosaceae	Pear																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	33 individuals
1092	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Male			http://purl.obolibrary.org/obo/FBcv_0000333	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2986532	Pyrus		Rosaceae	Pear																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	58 individuals
1093	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Female			http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/3013395	Crataegus		Rosaceae	Hawthorn																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	48 individuals
1094	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Male			http://purl.obolibrary.org/obo/FBcv_0000333	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/3013395	Crataegus		Rosaceae	Hawthorn																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	39 individuals
1095	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Female			http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/3039576	Salix		Salicaceae	Willow																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	223 individuals
1096	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Male			http://purl.obolibrary.org/obo/FBcv_0000333	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/3039576	Salix		Salicaceae	Willow																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	452 individuals
1097	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Female			http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/3040183	Populus		Salicaceae	Poplar																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	
1098	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Male			http://purl.obolibrary.org/obo/FBcv_0000333	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/3040183	Populus		Salicaceae	Poplar																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	8 individuals
1099	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Female			http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/4272650	Cruciferae		Brassicaeae																			Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	104 individuals
1100	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Male			http://purl.obolibrary.org/obo/FBcv_0000333	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/4272650	Cruciferae		Brassicaeae																			Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	26 individuals
1101	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Female			http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/6070956	Compositae		Asteraceae																			Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	18 individuals
1102	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Male			http://purl.obolibrary.org/obo/FBcv_0000333	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/6070956	Compositae		Asteraceae																			Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	8 individuals
1103	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Female			http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/4271321	Umbelliferae		Umbelliferae	Parsley																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	20 individuals
1104	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Male			http://purl.obolibrary.org/obo/FBcv_0000333	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/4271321	Umbelliferae		Umbelliferae	Parsley																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	5 individuals
1105	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Female			http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/6713	Cornaceae		Cornaceae	Dogwoods																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	16 individuals
1106	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Male			http://purl.obolibrary.org/obo/FBcv_0000333	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/6713	Cornaceae		Cornaceae	Dogwoods																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	9 individuals
1107	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Female			http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2398	Anacardiaceae		Anacardiaceae	Cashews																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	3 individuals
1108	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Male			http://purl.obolibrary.org/obo/FBcv_0000333	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2398	Anacardiaceae		Anacardiaceae	Cashews																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	22 individuals
1109	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Female			http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2407	Rhamnaceae		Rhamnaceae	Buckthorns																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	23 individuals
1110	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Male			http://purl.obolibrary.org/obo/FBcv_0000333	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2407	Rhamnaceae		Rhamnaceae	Buckthorns																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	2 individuals
1111	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Female			http://purl.obolibrary.org/obo/FBcv_0000334	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/6660	Aceraceae		Aceraceae	Maples																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	7 individuals
1112	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae		Male			http://purl.obolibrary.org/obo/FBcv_0000333	http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/6660	Aceraceae		Aceraceae	Maples																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	11 individuals
1113	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae						http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/6660	Aceraceae		Aceraceae	Maples																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	
1114	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae						http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/3189866	Aceraceae		Aceraceae	Ashwood Maple																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	
1115	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae						http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/6363585	Alsine media		Caryophyllaceae																			Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	
1116	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae						http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/3023817	Amelanchier		Rosaceae	Serviceberry																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	
1117	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae						http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/3024052	Amelanchier arborea		Rosaceae	Allegheny Serviceberry																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	
1118	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae						http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/3023833	Amelanchier canadensis		Rosaceae	Canadian Serviceberry																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	
1119	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae						http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2965599	Amorpha		Fabaceae	False Indigo																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	
1120	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae						http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/5357407	Amorpha fruticosa		Fabaceae	False Indigo																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	
1121	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae						http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/5371822	Angelica atropurpea		Apiaceae	American Angelica																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	
1122	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae						http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/5385604	Antennaria dioica	Antennaria dioicum	Asteraceae	Cat's Foot																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	
1123	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae						http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2933951	Astragalus		Fabaceae	Locoweed																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	
1124	LiteratureRecord	https://www.gbif.org/species/1357223	Andrena Imitatrix		Andrenidae						http://purl.obolibrary.org/obo/RO_0002622		Collected on	Flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/5708780	Barbarea vulgaris		Brassicaeae	Bitter Wintercress																		Laberge, Wallace E. “A Revision of the Bees of the Genus Andrena of the Western Hemisphere. Part IV. Scrapteropsis, Xiphandrena and Rhaphandrena.” Transactions of the American Entomological Society (1890-), vol. 97, no. 3, 1971, pp. 441–520. JSTOR, www.jstor.org/stable/25078019. Accessed 19 May 2020.	Journal Article	TRUE	Kristi Liu	
